"IDRSSD"	RCFDA591	RCFDB705	RCFDB706	RCFDB707	RCFDB708	RCFDB709	RCFDB710	RCFDB711	RCFDB726	RCFDB727	RCFDB728	RCFDB729	RCFDB730	RCFDB731	RCFDB732	RCFDB733	RCFDB734	RCFDB735	RCFDB736	RCFDB737	RCFDB738	RCFDB739	RCFDB740	RCFDB741	RCFDB742	RCFDB743	RCFDB744	RCFDB745	RCFDB746	RCFDB776	RCFDB779	RCFDB780	RCFDB781	RCFDB782	RCFDB783	RCFDB786	RCFDB787	RCFDB788	RCFDB789	RCFDB790	RCFDB796	RCFDB797	RCFDB803	RCFDB804	RCFDB805	RCFDB806	RCFDB807	RCFDB808	RCFDB809	RCFDC407	RCFDF699	RCFDHU09	RCFDHU10	RCFDHU11	RCFDHU12	RCFDHU13	RCFDHU14	RCFDHU15	RCFDHU16	RCFDHU17	RCFDHU18	RCONA591	RCONB705	RCONB711	RCONB733	RCONB739	RCONB740	RCONB746	RCONB776	RCONB782	RCONB783	RCONB789	RCONB790	RCONB796	RCONB797	RCONB803	RCONB804	RCONB805	RCONB806	RCONB807	RCONB808	RCONB809	RCONC407	RCONF699	RCONHU09	RCONHU15	RCONHU19	RIADB747	RIADB748	RIADB749	RIADB750	RIADB751	RIADB752	RIADB753	RIADB754	RIADB755	RIADB756	RIADB757	RIADB758	RIADB759	RIADB760	
18050																																																																																																						
18827																																																																																																						
18836																																																																																																						
18854																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
19356																																																																																																						
19936																																																																																																						
19972																																																																																																						
20053																																																																																																						
20633																																																																																																						
20857																																																																																																						
21256																																																																																																						
21359																																																																																																						
21658																																																														0	0	0	0	0	0	0	0	0			129	0	33	0	129	34880					0	0	0	0		0						0	0						0	
22048																																																																																																						
22543																																																																																																						
22552																																																																																																						
22730																																																																																																						
23456																																																																																																						
23504																																																														358366	1235	101734	0	0	0	0	0	0			0	0	0	0	0	113576					0	0	0	28019		0						0	0						0	
23643																																																																																																						
23755																																																																																																						
24006																																																																																																						
24378																																																																																																						
24659																																																																																																						
24668																																																																																																						
24949																																																																																																						
25357																																																																																																						
25647																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
26457																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
26765																																																																																																						
27070																																																																																																						
27548																																																																																																						
27614																																																																																																						
27847																																																																																																						
28013																																																														130478	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
28152																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
28675																																																														0	0	0	0	0	0	0	0	0			87534	0	2321	0	87534	13466						0	0	0		0						0	0						0	
28732																																																																																																						
29476																																																																																																						
29636																																																																																																						
29878																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
30052																																																																																																						
30502																																																																																																						
30650																																																																																																						
30810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31134																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
31255																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
31657																																																																																																						
31826																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
31835																																																																																																						
32234																																																																																																						
32766																																																																																																						
32971																																																																																																						
33147																																																																																																						
33259																																																																																																						
33268																																																																																																						
33370																																																																																																						
33839																																																																																																						
33857																																																														0	0	0	0	0	0	0	0	0			78125	0	78125	0	0	0					0	0	0	0		0						0	0						0	
34434																																																																																																						
34537																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	367					0	0	0	0		0						0	0						0	
34555																																																														626	0	0	0	0	0	0	0	0			95296	0	1744	0	95296	0					0	0	0	0		0						0	0						0	
34742																																																																																																						
35057																																																														0	0	0	0	0	0	0	0	0			14180	0	17	0	14180	112572					0	0	0	0		0						0	0						0	
35301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35570																																																														0	0	0	0	0	0	0	0	68	0	0	157318	0	3759	0	157318	1176946	0	0	0	0	0	1840	0	0	0	0						0	0						0	
35646																																																																																																						
35879																																																																																																						
36456																																																																																																						
36933																																																																																																						
37051																																																																																																						
37341																																																																																																						
37435																																																																																																						
37640																																																														30919	0	0	0	0	0	0	0	0			0	0	0	0	0	45002					0	0	0	0		0						0	0						0	
37659																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
37949																																																																																																						
38740																																																																																																						
39327																																																																																																						
39756																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
40033																																																																																																						
40499																																																														289227	0	0	0	0	0	0	0	0			10204	0	1260	0	10204	3635918					0	5441	0	0		0						0	0						0	
40855																																																																																																						
41553																																																																																																						
41629																																																																																																						
41825																																																																																																						
41955																																																																																																						
42037																																																																																																						
42354																																																																																																						
42372																																																																																																						
42420																																																														120702	0	0	0	0	0	0	0	0			0	0	0	0	0	16664					0	99	0	0		0						0	0						0	
42448																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
42457																																																																																																						
43052																																																																																																						
43351																																																																																																						
43856																																																																																																						
43959																																																																																																						
44040																																																																																																						
44433																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
44741																																																																																																						
44750																																																																																																						
44929																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
45038																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
45047																																																																																																						
45056																																																																																																						
45430																																																																																																						
45458																																																																																																						
45551																																																																																																						
45560																																																														0	0	0	0	0	0	0	0	0			1709	0	393	0	1709	0					0	0	0	0		0						0	0						0	
45775																																																																																																						
46053																																																																																																						
46941																																																																																																						
47247																																																														0	0	0	0	0	0	0	0	0			9938	0	9938	0	2274	1226170					0	154	0	0		0						0	0						0	
47256																																																																																																						
47452																																																																																																						
47500																																																																																																						
48057																																																																																																						
48150																																																																																																						
48374																																																																																																						
48440																																																																																																						
49054																																																																																																						
49148																																																																																																						
49241																																																																																																						
49652																																																																																																						
49858																																																																																																						
49951																																																																																																						
50144																																																																																																						
50461																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
51253																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	7686					0	295	0	0		0						0	0						0	
51356																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
51459																																																																																																						
51842																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	119321					0	0	0	0		0						0	0						0	
52719																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
52951																																																																																																						
53051																																																																																																						
54058																																																														0	0	0	0	0	0	0	0	0			39824	0	1127	0	0	0						0	0	0		0						0	0						0	
54656																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
54973																																																														51275	0	0	0	0	0	0	0	0			0	0	0	0	0	1479276						217	0	0		0						0	0						0	
55336																																																																																																						
55635																																																																																																						
55653																																																																																																						
55970																																																																																																						
56258																																																																																																						
56351																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	1997						0	0	0		0						0	0						0	
56548																																																																																																						
56717																																																																																																						
57040																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
57451																																																																																																						
58225																																																																																																						
58243																																																														0	0	0	0	0	0	0	0	0			43056	0	43056	0	43056	3266120					0	7785	0	0		0						0	0						0	
58355																																																																																																						
58551																																																																																																						
58636																																																																																																						
58757																																																																																																						
58971																																																														180376	0	0	0	0	0	0	0	0			0	0	0	0	0	110226					0	259	0	0		0						0	0						0	
59316																																																																																																						
59352																																																																																																						
59370																																																																																																						
59754																																																																																																						
60143	699000	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60330																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
60545																																																																																																						
60554																																																																																																						
60648																																																																																																						
61122																																																														0	0	0	0	0	0	0	0	1376			0	0	0	0	0	146754					0	0	0	0		0						0	0						0	
61355																																																																																																						
61476																																																																																																						
61757																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
61832																																																																																																						
61953																																																																																																						
62044																																																																																																						
62110																																																																																																						
62147																																																																																																						
63050																																																																																																						
63069	99975	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6283	0	2094	0	3973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63201																																																																																																						
63573																																																																																																						
63733																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	246166					0	0	0	0		0						0	0						0	
63742																																																																																																						
64150																																																																																																						
64552																																																														6199	1282604	0	28451	0	56832	0	0	0			756	0	123	0	756	1282604						3176	0	0		0						0	0						0	
64730																																																																																																						
65205																																																																																																						
65513	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0					0	0	0	0	0	0	0	0	0																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65559																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
65746																																																														0	0	0	0	0	0	0	0	0			10594	0	10594	0	0	0					0	0	0	0		0						0	0						0	
65858																																																																																																						
66154																																																																																																						
66275																																																																																																						
66677																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	206	282022						0	0	0		0						0	0						0	
67142																																																																																																						
67151																																																																																																						
67209																																																																																																						
67254																																																																																																						
67656																																																														34379	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
67870																																																																																																						
68671																																																																																																						
68756																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
68831																																																																																																						
69333																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
69678																																																																																																						
70218																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
70414																																																																																																						
70638																																																																																																						
70955																																																																																																						
71073																																																																																																						
71457																																																																																																						
71859																																																																																																						
72258																																																																																																						
72351																																																																																																						
72454																																																																																																						
72678																																																																																																						
73116																																																																																																						
73152																																																																																																						
73554																																																																																																						
73956																																																																																																						
74056																																																																																																						
74140																																																														32088	0	0	0	0	0	0	0	0			0	0	0	0	0	278844						0	0	0		0						0	0						0	
74403																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	100286						0	0	0		0						0	0						0	
74449																																																																																																						
75259																																																																																																						
75446																																																																																																						
75455																																																																																																						
75633	436855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32787	8710	30520	8710	32787	3430519	0	0	0	0	0	10085	0	0	0	0	0	0	0	0	0	0																											0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75651																																																																																																						
76153																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
76443																																																																																																						
76854																																																																																																						
77150																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
77253																																																																																																						
77422																																																																																																						
77851																																																														0	0	0	0	0	0	0	0	0			209488	0	98195	0	117767	577596					0	0	0	0		0						0	0						0	
78157																																																																																																						
78241																																																																																																						
78559																																																																																																						
79042																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0	0	0		0						0	0						0	
79127																																																																																																						
79145																																																																																																						
79257																																																																																																						
79855																																																																																																						
80150																																																																																																						
80374																																																																																																						
80431																																																																																																						
81175																																																																																																						
82033																																																																																																						
82257																																																																																																						
82350																																																																																																						
83151																																																																																																						
83236																																																																																																						
83375																																																																																																						
83638	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	77595						0	0	0	0	0	0	0	0																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83834																																																																																																						
83852																																																																																																						
83955																																																																																																						
84046																																																																																																						
84541																																																																																																						
84804																																																																																																						
85052																																																																																																						
85472																																																														0	0	0	0	0	0	0	0	0			17804	0	3248	0	17804	42643	0	0	0	0	0	56	0	0		0						0	0						0	
85931																																																																																																						
86349																																																																																																						
86675																																																																																																						
87047																																																																																																						
87159																																																																																																						
87234																																																																																																						
87476																																																																																																						
87579																																																														0	0	0	0	0	0	0	0	0			21464	0	461	0	21464	0						0	0	0		0						0	0						0	
88231																																																																																																						
88259																																																																																																						
88352																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
88455																																																																																																						
88950																																																																																																						
89032																																																																																																						
89135																																																																																																						
89854																																																																																																						
89957																																																																																																						
90047																																																																																																						
90177																																																																																																						
90328																																																																																																						
90337																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
90579																																																																																																						
91615																																																																																																						
91754																																																														0	0	0	0	0	0	0	0	0			0	0	0	0	0	0					0	0	0	0		0						0	0						0	
91950																																																																																																						
